date_issue,amount,covid_claims
2018-09-02,14,0
2018-09-03,8716,0
2018-09-04,23504,0
2018-09-05,48112,0
2018-09-06,11508,0
2018-09-07,55058,0
2018-09-10,10768,0
2018-09-11,30411,0
2018-09-12,48880,0
2018-09-13,33451,0
2018-09-14,646,0
2018-09-17,5347,0
2018-09-19,24248,0
2018-09-20,20671,0
2018-09-21,70079,0
2018-09-22,61,0
2018-09-24,35736,0
2018-09-25,17062,0
2018-09-26,14356,0
2018-09-27,584,0
2018-09-28,2673,0
2018-10-01,6175,0
2018-10-02,1163,0
2018-10-03,128,0
2018-10-04,4524,0
2018-10-08,157,0
2018-10-09,20690,0
2018-10-10,45247,0
2018-10-11,93808,0
2018-10-15,13,0
2018-10-16,6718,0
2018-10-17,5070,0
2018-10-18,1120,0
2018-10-19,196,0
2018-10-20,48,0
2018-10-21,130,0
2018-10-22,31895,0
2018-10-23,75201,0
2018-10-24,25333,0
2018-10-25,54156,0
2018-10-26,10745,0
2018-10-29,9697,0
2018-10-30,2644,0
2018-10-31,1027,0
2018-11-01,29285,0
2018-11-02,20527,0
2018-11-04,67,0
2018-11-05,201,0
2018-11-06,2628,0
2018-11-07,57533,0
2018-11-08,7474,0
2018-11-09,492,0
2018-11-10,61,0
2018-11-12,1436,0
2018-11-13,23953,0
2018-11-14,93399,0
2018-11-15,104253,0
2018-11-16,440,0
2018-11-17,898,0
2018-11-19,39828,0
2018-11-20,24894,0
2018-11-21,21443,0
2018-11-22,4306,0
2018-11-23,5658,0
2018-11-24,361,0
2018-11-26,107464,0
2018-11-27,40468,0
2018-11-28,769,0
2018-11-29,4562,0
2018-11-30,13725,0
2018-12-01,83,0
2018-12-02,680,0
2018-12-03,1597,0
2018-12-04,86465,0
2018-12-05,10535,0
2018-12-06,7727,0
2018-12-07,1334,0
2018-12-08,183,0
2018-12-10,158,0
2018-12-11,2902,0
2018-12-12,1498,0
2018-12-13,109226,0
2018-12-14,9968,0
2018-12-17,32210,0
2018-12-18,7310,0
2018-12-19,4974,0
2018-12-20,73950,0
2018-12-21,63974,0
2018-12-22,133,0
2018-12-23,91,0
2018-12-24,91,0
2018-12-25,165,0
2018-12-26,10175,0
2018-12-27,575,0
2018-12-28,618,0
2018-12-29,447,0
2018-12-30,768,0
2018-12-31,600,0
2019-01-01,51,0
2019-01-02,7512,0
2019-01-03,33614,0
2019-01-04,11052,0
2019-01-05,8708,0
2019-01-06,341,0
2019-01-07,4442,0
2019-01-08,6351,0
2019-01-09,5580,0
2019-01-10,5594,0
2019-01-11,30402,0
2019-01-12,2547,0
2019-01-13,484,0
2019-01-14,15057,0
2019-01-15,31440,0
2019-01-16,16542,0
2019-01-17,1371,0
2019-01-18,28631,0
2019-01-19,11554,0
2019-01-20,72,0
2019-01-21,37719,0
2019-01-22,9316,0
2019-01-23,15156,0
2019-01-24,48833,0
2019-01-25,2830,0
2019-01-26,2413,0
2019-01-27,1021,0
2019-01-28,26543,0
2019-01-29,11084,0
2019-01-30,12410,0
2019-01-31,5734,0
2019-02-01,2941,0
2019-02-02,3680,0
2019-02-03,1226,0
2019-02-04,94578,0
2019-02-05,63012,0
2019-02-06,35804,0
2019-02-07,15415,0
2019-02-08,17588,0
2019-02-09,2060,0
2019-02-10,452,0
2019-02-11,8272,0
2019-02-12,11199,0
2019-02-13,52842,0
2019-02-14,19894,0
2019-02-15,10565,0
2019-02-16,17,0
2019-02-17,441,0
2019-02-18,5307,0
2019-02-19,11083,0
2019-02-20,61964,0
2019-02-21,44593,0
2019-02-22,40868,0
2019-02-23,2063,0
2019-02-24,2094,0
2019-02-25,141203,0
2019-02-26,54604,0
2019-02-27,77881,0
2019-02-28,8893,0
2019-03-01,17851,0
2019-03-02,2298,0
2019-03-03,3626,0
2019-03-04,11254,0
2019-03-05,1512,0
2019-03-06,16260,0
2019-03-07,5292,0
2019-03-09,480,0
2019-03-11,1775,0
2019-03-12,5935,0
2019-03-13,10034,0
2019-03-14,8477,0
2019-03-15,21216,0
2019-03-16,18057,0
2019-03-17,4549,0
2019-03-18,68866,0
2019-03-19,13765,0
2019-03-20,4391,0
2019-03-21,18266,0
2019-03-22,67951,0
2019-03-23,3212,0
2019-03-24,2785,0
2019-03-25,153089,0
2019-03-26,13713,0
2019-03-27,39141,0
2019-03-28,21569,0
2019-03-29,23721,0
2019-03-30,3645,0
2019-03-31,4348,0
2019-04-01,16227,0
2019-04-02,36797,0
2019-04-03,63840,0
2019-04-04,44230,0
2019-04-05,13012,0
2019-04-06,2839,0
2019-04-07,4182,0
2019-04-08,26619,0
2019-04-09,37326,0
2019-04-10,74261,0
2019-04-11,56080,0
2019-04-12,16474,0
2019-04-13,7336,0
2019-04-14,11048,0
2019-04-15,110204,0
2019-04-16,7711,0
2019-04-17,17738,0
2019-04-18,5968,0
2019-04-19,4006,0
2019-04-20,13835,0
2019-04-21,3074,0
2019-04-22,23679,0
2019-04-23,128842,0
2019-04-24,36009,0
2019-04-25,25360,0
2019-04-26,19445,0
2019-04-27,4684,0
2019-04-28,1894,0
2019-04-29,60405,0
2019-04-30,982,0
2019-05-01,3476,0
2019-05-02,44069,0
2019-05-03,104155,0
2019-05-04,2414,0
2019-05-05,10926,0
2019-05-06,53609,0
2019-05-07,38222,0
2019-05-08,20609,0
2019-05-09,27229,0
2019-05-10,26167,0
2019-05-11,27881,0
2019-05-12,10474,0
2019-05-13,23314,0
2019-05-14,13399,0
2019-05-15,31565,0
2019-05-16,25219,0
2019-05-17,19418,0
2019-05-18,16956,0
2019-05-19,4428,0
2019-05-20,67848,0
2019-05-21,11519,0
2019-05-22,35225,0
2019-05-23,18105,0
2019-05-24,14173,0
2019-05-25,6793,0
2019-05-26,20169,0
2019-05-27,26567,0
2019-05-28,51731,0
2019-05-29,30070,0
2019-05-30,30733,0
2019-05-31,46308,0
2019-06-01,40577,0
2019-06-02,4460,0
2019-06-03,6992,0
2019-06-04,30133,0
2019-06-05,17607,0
2019-06-06,39329,0
2019-06-07,25932,0
2019-06-08,2216,0
2019-06-09,5454,0
2019-06-10,29684,0
2019-06-11,38514,0
2019-06-12,17925,0
2019-06-13,45491,0
2019-06-14,22829,0
2019-06-15,4388,0
2019-06-16,17933,0
2019-06-17,8674,0
2019-06-18,30763,0
2019-06-19,30648,0
2019-06-20,40837,0
2019-06-21,22579,0
2019-06-22,7859,0
2019-06-23,1569,0
2019-06-24,4504,0
2019-06-25,30515,0
2019-06-26,27456,0
2019-06-27,50640,0
2019-06-28,15824,0
2019-06-29,15122,0
2019-06-30,16919,0
2019-07-01,25951,0
2019-07-02,55475,0
2019-07-03,23264,0
2019-07-04,28505,0
2019-07-05,14191,0
2019-07-06,2378,0
2019-07-07,4754,0
2019-07-08,54180,0
2019-07-09,34291,0
2019-07-10,24585,0
2019-07-11,53484,0
2019-07-12,27775,0
2019-07-13,19213,0
2019-07-14,17545,0
2019-07-15,56761,0
2019-07-16,22267,0
