date_issue,amount,covid_claims
2018-09-03,8730,0
2018-09-10,148950,0
2018-09-17,118735,0
2018-09-24,150795,0
2018-10-01,40850,0
2018-10-08,5972,0
2018-10-15,159758,0
2018-10-22,45177,0
2018-10-29,175132,0
2018-11-05,53751,0
2018-11-12,69624,0
2018-11-19,262771,0
2018-11-26,164126,0
2018-12-03,61884,0
2018-12-10,106402,0
2018-12-17,155804,0
2018-12-24,150523,0
2018-12-31,13348,0
2019-01-07,65720,0
2019-01-14,66015,0
2019-01-21,127329,0
2019-01-28,106112,0
2019-02-04,131653,0
2019-02-11,142603,0
2019-02-18,100265,0
2019-02-25,303868,0
2019-03-04,176407,0
2019-03-11,25319,0
2019-03-18,137134,0
2019-03-25,263459,0
2019-04-01,122364,0
2019-04-08,191519,0
2019-04-15,312729,0
2019-04-22,76011,0
2019-04-29,276639,0
2019-05-06,219631,0
2019-05-13,173896,0
2019-05-20,178833,0
2019-05-27,132551,0
2019-06-03,210871,0
2019-06-10,150355,0
2019-06-17,155754,0
2019-06-24,138759,0
2019-07-01,182427,0
2019-07-08,182747,0
2019-07-15,233654,0
2019-07-22,166814,0
2019-07-29,156049,0
2019-08-05,187157,0
2019-08-12,186634,0
2019-08-19,197579,0
2019-08-26,231286,0
2019-09-02,215206,0
2019-09-09,209690,0
2019-09-16,270897,0
2019-09-23,338738,0
2019-09-30,293099,0
2019-10-07,239291,0
2019-10-14,361438,0
2019-10-21,383600,0
2019-10-28,395872,0
2019-11-04,265697,0
2019-11-11,449181,0
2019-11-18,346846,0
2019-11-25,405531,0
2019-12-02,250145,0
2019-12-09,283199,0
2019-12-16,315132,0
2019-12-23,311539,0
2019-12-30,211868,0
2020-01-06,168952,0
2020-01-13,349311,0
2020-01-20,345580,0
2020-01-27,416689,0
2020-02-03,391232,0
2020-02-10,427124,0
2020-02-17,453547,0
2020-02-24,385831,0
2020-03-02,357720,0
2020-03-09,506684,0
2020-03-16,310033,0
2020-03-23,186608,1
2020-03-30,244825,2
2020-04-06,162749,2
2020-04-13,186943,0
2020-04-20,248329,0
2020-04-27,236985,0
2020-05-04,220049,0
2020-05-11,321135,0
2020-05-18,282769,0
2020-05-25,253222,2
2020-06-01,393160,0
2020-06-08,390449,1
2020-06-15,371472,4
2020-06-22,327004,3
2020-06-29,420914,3
2020-07-06,431983,2
2020-07-13,454819,15
2020-07-20,465918,16
2020-07-27,481904,22
2020-08-03,642276,40
2020-08-10,617990,48
2020-08-17,565056,42
2020-08-24,632256,54
2020-08-31,655742,64
2020-09-07,620133,59
2020-09-14,601221,60
2020-09-21,647037,53
2020-09-28,595658,79
2020-10-05,624745,85
2020-10-12,578947,90
2020-10-19,713314,78
2020-10-26,915768,97
2020-11-02,831900,70
2020-11-09,675968,71
2020-11-16,809652,70
2020-11-23,773801,65
2020-11-30,843144,83
2020-12-07,763192,55
2020-12-14,778349,66
2020-12-21,731898,81
2020-12-28,500743,61
2021-01-04,626137,75
2021-01-11,815885,120
2021-01-18,952580,98
2021-01-25,1059642,138
2021-02-01,1047713,112
2021-02-08,1107180,96
2021-02-15,1048086,106
2021-02-22,1047364,94
2021-03-01,1328375,166
2021-03-08,937722,96
