date_issue,total_claims,total_amount_claims
2018-09-02,1,14
2018-09-03,32,8716
2018-09-04,71,23504
2018-09-05,89,48112
2018-09-06,34,11508
2018-09-07,74,55058
2018-09-10,4,10768
2018-09-11,16,30411
2018-09-12,134,48880
2018-09-13,68,33451
2018-09-14,7,646
2018-09-17,31,5347
2018-09-19,34,24248
2018-09-20,46,20671
2018-09-21,33,70079
2018-09-22,1,61
2018-09-24,86,35736
2018-09-25,42,17062
2018-09-26,43,14356
2018-09-27,1,584
2018-09-28,7,2673
2018-10-01,4,6175
2018-10-02,1,1163
2018-10-03,5,128
2018-10-04,5,4524
2018-10-08,6,157
2018-10-09,37,20690
2018-10-10,89,45247
2018-10-11,52,93808
2018-10-15,2,13
2018-10-16,7,6718
2018-10-17,8,5070
2018-10-18,7,1120
2018-10-19,3,196
2018-10-20,1,48
2018-10-21,1,130
2018-10-22,90,31895
2018-10-23,31,75201
2018-10-24,77,25333
2018-10-25,62,54156
2018-10-26,26,10745
2018-10-29,24,9697
2018-10-30,10,2644
2018-10-31,5,1027
2018-11-01,40,29285
2018-11-02,43,20527
2018-11-04,1,67
2018-11-05,3,201
2018-11-06,4,2628
2018-11-07,134,57533
2018-11-08,35,7474
2018-11-09,4,492
2018-11-10,1,61
2018-11-12,4,1436
2018-11-13,73,23953
2018-11-14,89,93399
2018-11-15,161,104253
2018-11-16,4,440
2018-11-17,2,898
2018-11-19,15,39828
2018-11-20,49,24894
2018-11-21,57,21443
2018-11-22,6,4306
2018-11-23,12,5658
2018-11-24,1,361
2018-11-26,122,107464
2018-11-27,38,40468
2018-11-28,12,769
2018-11-29,16,4562
2018-11-30,21,13725
2018-12-01,1,83
2018-12-02,1,680
2018-12-03,7,1597
2018-12-04,190,86465
2018-12-05,52,10535
2018-12-06,7,7727
2018-12-07,12,1334
2018-12-08,2,183
2018-12-10,1,158
2018-12-11,14,2902
2018-12-12,5,1498
2018-12-13,213,109226
2018-12-14,43,9968
2018-12-17,45,32210
2018-12-18,38,7310
2018-12-19,18,4974
2018-12-20,181,73950
2018-12-21,58,63974
2018-12-22,2,133
2018-12-23,1,91
2018-12-24,3,91
2018-12-25,2,165
2018-12-26,25,10175
2018-12-27,15,575
2018-12-28,13,618
2018-12-29,2,447
2018-12-30,2,768
2018-12-31,6,600
2019-01-01,3,51
2019-01-02,16,7512
2019-01-03,56,33614
2019-01-04,29,11052
2019-01-05,6,8708
2019-01-06,7,341
2019-01-07,10,4442
2019-01-08,14,6351
2019-01-09,22,5580
2019-01-10,13,5594
2019-01-11,73,30402
2019-01-12,17,2547
2019-01-13,3,484
2019-01-14,32,15057
2019-01-15,27,31440
2019-01-16,30,16542
2019-01-17,19,1371
2019-01-18,27,28631
2019-01-19,6,11554
2019-01-20,3,72
2019-01-21,37,37719
2019-01-22,44,9316
2019-01-23,65,15156
2019-01-24,75,48833
2019-01-25,16,2830
2019-01-26,6,2413
2019-01-27,9,1021
2019-01-28,44,26543
2019-01-29,49,11084
2019-01-30,38,12410
2019-01-31,74,5734
2019-02-01,25,2941
2019-02-02,7,3680
2019-02-03,5,1226
2019-02-04,144,94578
2019-02-05,100,63012
2019-02-06,84,35804
2019-02-07,47,15415
2019-02-08,66,17588
2019-02-09,9,2060
2019-02-10,7,452
2019-02-11,92,8272
2019-02-12,68,11199
2019-02-13,84,52842
2019-02-14,81,19894
2019-02-15,65,10565
2019-02-16,1,17
2019-02-17,3,441
2019-02-18,28,5307
2019-02-19,69,11083
2019-02-20,91,61964
2019-02-21,101,44593
2019-02-22,93,40868
2019-02-23,15,2063
2019-02-24,9,2094
2019-02-25,99,141203
2019-02-26,88,54604
2019-02-27,95,77881
2019-02-28,131,8893
2019-03-01,32,17851
2019-03-02,8,2298
2019-03-03,6,3626
2019-03-04,11,11254
