date_issue,amount,covid_claims
2018-09-01,168,0
2018-09-02,346,0
2018-09-03,16169,0
2018-09-04,28529,0
2018-09-05,64135,0
2018-09-06,21725,0
2018-09-07,76122,0
2018-09-08,260,0
2018-09-09,31,0
2018-09-10,10972,0
2018-09-11,69318,0
2018-09-12,68021,0
2018-09-13,63806,0
2018-09-14,22480,0
2018-09-15,3010,0
2018-09-16,8937,0
2018-09-17,28089,0
2018-09-18,73038,0
2018-09-19,32438,0
2018-09-20,556689,0
2018-09-21,78930,0
2018-09-22,193,0
2018-09-23,7857,0
2018-09-24,50558,0
2018-09-25,62251,0
2018-09-26,88256,0
2018-09-27,686066,0
2018-09-28,23940,0
2018-09-29,907,0
2018-09-30,4800,0
2018-10-01,34085,0
2018-10-02,32923,0
2018-10-03,21902,0
2018-10-04,48168,0
2018-10-05,4599,0
2018-10-06,279,0
2018-10-07,973,0
2018-10-08,10913,0
2018-10-09,69071,0
2018-10-10,216903,0
2018-10-11,212146,0
2018-10-12,3760,0
2018-10-13,1074,0
2018-10-14,601,0
2018-10-15,58629,0
2018-10-16,17589,0
2018-10-17,52916,0
2018-10-18,9257,0
2018-10-19,21620,0
2018-10-20,170,0
2018-10-21,4186,0
2018-10-22,92988,0
2018-10-23,94693,0
2018-10-24,37855,0
2018-10-25,334808,0
2018-10-26,14845,0
2018-10-27,17428,0
2018-10-28,348,0
2018-10-29,54425,0
2018-10-30,46302,0
2018-10-31,35887,0
2018-11-01,41069,0
2018-11-02,121755,0
2018-11-03,1261,0
2018-11-04,864,0
2018-11-05,1757,0
2018-11-06,121274,0
2018-11-07,100262,0
2018-11-08,18209,0
2018-11-09,12726,0
2018-11-10,1988,0
2018-11-11,408,0
2018-11-12,28085,0
2018-11-13,84758,0
2018-11-14,123227,0
2018-11-15,138475,0
2018-11-16,56747,0
2018-11-17,9095,0
2018-11-18,13832,0
2018-11-19,124164,0
2018-11-20,35398,0
2018-11-21,56680,0
2018-11-22,34537,0
2018-11-23,44709,0
2018-11-24,2874,0
2018-11-25,7925,0
2018-11-26,147372,0
2018-11-27,74947,0
2018-11-28,14935,0
2018-11-29,72965,0
2018-11-30,37991,0
2018-12-01,796,0
2018-12-02,3507,0
2018-12-03,20686,0
2018-12-04,107323,0
2018-12-05,35807,0
2018-12-06,20118,0
2018-12-07,16914,0
2018-12-08,3774,0
2018-12-09,18773,0
2018-12-10,29393,0
2018-12-11,79420,0
2018-12-12,18670,0
2018-12-13,115623,0
2018-12-14,33547,0
2018-12-15,1765,0
2018-12-16,1215,0
2018-12-17,37084,0
2018-12-18,20040,0
2018-12-19,16086,0
2018-12-20,90408,0
2018-12-21,342084,0
2018-12-22,1711,0
2018-12-23,1289,0
2018-12-24,313,0
2018-12-25,1328,0
2018-12-26,112526,0
2018-12-27,12627,0
2018-12-28,9222,0
2018-12-29,3226,0
2018-12-30,2963,0
2018-12-31,6724,0
2019-01-01,3576,0
2019-01-02,96603,0
2019-01-03,52703,0
2019-01-04,46059,0
2019-01-05,10569,0
2019-01-06,765,0
2019-01-07,28909,0
2019-01-08,19720,0
2019-01-09,44446,0
2019-01-10,9848,0
2019-01-11,45190,0
2019-01-12,3619,0
2019-01-13,1505,0
2019-01-14,30810,0
2019-01-15,85307,0
2019-01-16,295526,0
2019-01-17,25866,0
2019-01-18,31139,0
2019-01-19,12231,0
2019-01-20,1170,0
2019-01-21,63042,0
2019-01-22,58574,0
2019-01-23,31064,0
2019-01-24,112635,0
2019-01-25,41858,0
2019-01-26,19627,0
2019-01-27,9160,0
2019-01-28,64168,0
2019-01-29,19942,0
2019-01-30,53736,0
2019-01-31,217358,0
2019-02-01,21787,0
