date_issue,amount,covid_claims
2018-09-03,16683,0
2018-09-10,201774,0
2018-09-17,263661,0
2018-09-24,799703,0
2018-10-01,900305,0
2018-10-08,119757,0
2018-10-15,562184,0
2018-10-22,198726,0
2018-10-29,554402,0
2018-11-05,248895,0
2018-11-12,282952,0
2018-11-19,550298,0
2018-11-26,329495,0
2018-12-03,225827,0
2018-12-10,232102,0
2018-12-17,287324,0
2018-12-24,471931,0
2018-12-31,148616,0
2019-01-07,239184,0
2019-01-14,155138,0
2019-01-21,514281,0
2019-01-28,337086,0
2019-02-04,453627,0
2019-02-11,442480,0
2019-02-18,597889,0
2019-02-25,687898,0
2019-03-04,251541,0
2019-03-11,88618,0
2019-03-18,333726,0
2019-03-25,517479,0
2019-04-01,224666,0
2019-04-08,289400,0
2019-04-15,908532,0
2019-04-22,141427,0
2019-04-29,484123,0
2019-05-06,732933,0
2019-05-13,498164,0
2019-05-20,392426,0
2019-05-27,463346,0
2019-06-03,328650,0
2019-06-10,372744,0
2019-06-17,287863,0
2019-06-24,294561,0
2019-07-01,634296,0
2019-07-08,397238,0
2019-07-15,521891,0
2019-07-22,1046164,0
2019-07-29,369044,0
2019-08-05,409898,0
2019-08-12,727561,0
2019-08-19,679725,0
2019-08-26,458687,0
2019-09-02,476927,0
2019-09-09,325582,0
2019-09-16,424519,0
2019-09-23,595692,0
2019-09-30,733113,0
2019-10-07,449472,0
2019-10-14,939026,0
2019-10-21,584723,0
2019-10-28,673773,0
2019-11-04,562963,0
2019-11-11,652181,0
2019-11-18,838302,0
2019-11-25,623402,0
2019-12-02,573697,0
2019-12-09,487450,0
2019-12-16,840033,0
2019-12-23,455082,0
2019-12-30,288683,0
2020-01-06,231965,0
2020-01-13,589066,0
2020-01-20,1490111,0
2020-01-27,726893,0
2020-02-03,868985,0
2020-02-10,657477,0
2020-02-17,875348,0
2020-02-24,688555,0
2020-03-02,619535,0
2020-03-09,774625,1
2020-03-16,726842,0
2020-03-23,320389,2
2020-03-30,751435,5
2020-04-06,398618,3
2020-04-13,281300,1
2020-04-20,492229,0
2020-04-27,444578,0
2020-05-04,427202,0
2020-05-11,586370,0
2020-05-18,466529,0
2020-05-25,668185,2
2020-06-01,716803,0
2020-06-08,621283,4
2020-06-15,735286,5
2020-06-22,648367,6
2020-06-29,806380,9
2020-07-06,895589,5
2020-07-13,747161,20
2020-07-20,972735,28
2020-07-27,822597,35
2020-08-03,1256998,58
2020-08-10,967879,70
2020-08-17,1119975,72
2020-08-24,1858704,80
2020-08-31,1578698,91
2020-09-07,1162316,87
2020-09-14,820467,82
2020-09-21,1078408,90
2020-09-28,1008514,105
2020-10-05,958498,126
2020-10-12,931685,146
2020-10-19,1094071,129
2020-10-26,1251763,130
2020-11-02,1249102,90
2020-11-09,1240029,104
2020-11-16,1430545,112
2020-11-23,1236462,89
2020-11-30,1447486,114
2020-12-07,1283244,104
2020-12-14,1284793,116
2020-12-21,1288100,137
2020-12-28,1174865,124
2021-01-04,1058832,157
2021-01-11,1690072,240
2021-01-18,1862241,206
2021-01-25,2001208,253
2021-02-01,1630852,209
2021-02-08,1949930,194
2021-02-15,1725225,185
2021-02-22,2232202,207
2021-03-01,2666662,271
2021-03-08,2111986,227
