date_issue,total_amount_claims
2018-09-01,168
2018-09-02,346
2018-09-03,16169
2018-09-04,28529
2018-09-05,64135
2018-09-06,21725
2018-09-07,76122
2018-09-08,260
2018-09-09,31
2018-09-10,10972
2018-09-11,69318
2018-09-12,68021
2018-09-13,63806
2018-09-14,22480
2018-09-15,3010
2018-09-16,8937
2018-09-17,28089
2018-09-18,73038
2018-09-19,32438
2018-09-20,556689
2018-09-21,78930
2018-09-22,193
2018-09-23,7857
2018-09-24,50558
2018-09-25,62251
2018-09-26,88256
2018-09-27,686066
2018-09-28,23940
2018-09-29,907
2018-09-30,4800
2018-10-01,34085
2018-10-02,32923
2018-10-03,21902
2018-10-04,48168
2018-10-05,4599
2018-10-06,279
2018-10-07,973
2018-10-08,10913
2018-10-09,69071
2018-10-10,216903
2018-10-11,212146
2018-10-12,3760
2018-10-13,1074
2018-10-14,601
2018-10-15,58629
2018-10-16,17589
2018-10-17,52916
2018-10-18,9257
2018-10-19,21620
2018-10-20,170
2018-10-21,4186
2018-10-22,92988
2018-10-23,94693
2018-10-24,37855
2018-10-25,334808
2018-10-26,14845
2018-10-27,17428
2018-10-28,348
2018-10-29,54425
2018-10-30,46302
2018-10-31,35887
2018-11-01,41069
2018-11-02,121755
2018-11-03,1261
2018-11-04,864
2018-11-05,1757
2018-11-06,121274
2018-11-07,100262
2018-11-08,18209
2018-11-09,12726
2018-11-10,1988
2018-11-11,408
2018-11-12,28085
2018-11-13,84758
2018-11-14,123227
2018-11-15,138475
2018-11-16,56747
2018-11-17,9095
2018-11-18,13832
2018-11-19,124164
2018-11-20,35398
2018-11-21,56680
2018-11-22,34537
2018-11-23,44709
2018-11-24,2874
2018-11-25,7925
2018-11-26,147372
2018-11-27,74947
2018-11-28,14935
2018-11-29,72965
2018-11-30,37991
2018-12-01,796
2018-12-02,3507
2018-12-03,20686
2018-12-04,107323
2018-12-05,35807
2018-12-06,20118
2018-12-07,16914
2018-12-08,3774
2018-12-09,18773
2018-12-10,29393
2018-12-11,79420
2018-12-12,18670
2018-12-13,115623
2018-12-14,33547
2018-12-15,1765
2018-12-16,1215
2018-12-17,37084
2018-12-18,20040
2018-12-19,16086
2018-12-20,90408
2018-12-21,342084
2018-12-22,1711
2018-12-23,1289
2018-12-24,313
2018-12-25,1328
2018-12-26,112526
2018-12-27,12627
2018-12-28,9222
2018-12-29,3226
2018-12-30,2963
2018-12-31,6724
2019-01-01,3576
2019-01-02,96603
2019-01-03,52703
2019-01-04,46059
2019-01-05,10569
2019-01-06,765
2019-01-07,28909
2019-01-08,19720
2019-01-09,44446
2019-01-10,9848
2019-01-11,45190
2019-01-12,3619
2019-01-13,1505
2019-01-14,30810
2019-01-15,85307
2019-01-16,295526
2019-01-17,25866
2019-01-18,31139
2019-01-19,12231
2019-01-20,1170
2019-01-21,63042
2019-01-22,58574
2019-01-23,31064
2019-01-24,112635
2019-01-25,41858
2019-01-26,19627
2019-01-27,9160
2019-01-28,64168
2019-01-29,19942
2019-01-30,53736
2019-01-31,217358
2019-02-01,21787
2019-02-02,7353
2019-02-03,2201
2019-02-04,131250
2019-02-05,224505
2019-02-06,104320
2019-02-07,41378
2019-02-08,37258
2019-02-09,6247
2019-02-10,3146
2019-02-11,25626
2019-02-12,33572
2019-02-13,459149
2019-02-14,41292
2019-02-15,36835
2019-02-16,1740
2019-02-17,1083
2019-02-18,24218
2019-02-19,52374
2019-02-20,79240
2019-02-21,75968
2019-02-22,68601
2019-02-23,3937
2019-02-24,3124
2019-02-25,404654
2019-02-26,64604
2019-02-27,88663
2019-02-28,32871
2019-03-01,43999
2019-03-02,4568
2019-03-03,5376
2019-03-04,11460
2019-03-05,5056
2019-03-06,35328
2019-03-07,28505
