date_issue,amount,covid_claims
2018-09-01,168,0
2018-09-02,332,0
2018-09-03,7453,0
2018-09-04,5025,0
2018-09-05,16023,0
2018-09-06,10217,0
2018-09-07,21064,0
2018-09-08,260,0
2018-09-09,31,0
2018-09-10,204,0
2018-09-11,38907,0
2018-09-12,19141,0
2018-09-13,30355,0
2018-09-14,21834,0
2018-09-15,3010,0
2018-09-16,8937,0
2018-09-17,22742,0
2018-09-18,73038,0
2018-09-19,8190,0
2018-09-20,221539,0
2018-09-21,8851,0
2018-09-22,132,0
2018-09-23,7857,0
2018-09-24,14822,0
2018-09-25,45189,0
2018-09-26,73900,0
2018-09-27,28170,0
2018-09-28,21267,0
2018-09-29,907,0
2018-09-30,4800,0
2018-10-01,27910,0
2018-10-02,31760,0
2018-10-03,21774,0
2018-10-04,43644,0
2018-10-05,4599,0
2018-10-06,279,0
2018-10-07,973,0
2018-10-08,10756,0
2018-10-09,48381,0
2018-10-10,171656,0
2018-10-11,118338,0
2018-10-12,3760,0
2018-10-13,1074,0
2018-10-14,601,0
2018-10-15,58616,0
2018-10-16,10871,0
2018-10-17,47846,0
2018-10-18,8137,0
2018-10-19,21424,0
2018-10-20,122,0
2018-10-21,4056,0
2018-10-22,61093,0
2018-10-23,19492,0
2018-10-24,12522,0
2018-10-25,280652,0
2018-10-26,4100,0
2018-10-27,17428,0
2018-10-28,348,0
2018-10-29,44728,0
2018-10-30,43658,0
2018-10-31,34860,0
2018-11-01,11784,0
2018-11-02,101228,0
2018-11-03,1261,0
2018-11-04,797,0
2018-11-05,1556,0
2018-11-06,118646,0
2018-11-07,42729,0
2018-11-08,10735,0
2018-11-09,12234,0
2018-11-10,1927,0
2018-11-11,408,0
2018-11-12,26649,0
2018-11-13,60805,0
2018-11-14,29828,0
2018-11-15,34222,0
2018-11-16,56307,0
2018-11-17,8197,0
2018-11-18,13832,0
2018-11-19,84336,0
2018-11-20,10504,0
2018-11-21,35237,0
2018-11-22,30231,0
2018-11-23,39051,0
2018-11-24,2513,0
2018-11-25,7925,0
2018-11-26,39908,0
2018-11-27,34479,0
2018-11-28,14166,0
2018-11-29,68403,0
2018-11-30,24266,0
2018-12-01,713,0
2018-12-02,2827,0
2018-12-03,19089,0
2018-12-04,20858,0
2018-12-05,25272,0
2018-12-06,12391,0
2018-12-07,15580,0
2018-12-08,3591,0
2018-12-09,18773,0
2018-12-10,29235,0
2018-12-11,76518,0
2018-12-12,17172,0
2018-12-13,6397,0
2018-12-14,23579,0
2018-12-15,1765,0
2018-12-16,1215,0
2018-12-17,4874,0
2018-12-18,12730,0
2018-12-19,11112,0
2018-12-20,16458,0
2018-12-21,278110,0
2018-12-22,1578,0
2018-12-23,1198,0
2018-12-24,222,0
2018-12-25,1163,0
2018-12-26,102351,0
2018-12-27,12052,0
2018-12-28,8604,0
2018-12-29,2779,0
2018-12-30,2195,0
2018-12-31,6124,0
2019-01-01,3525,0
2019-01-02,89091,0
2019-01-03,19089,0
2019-01-04,35007,0
2019-01-05,1861,0
2019-01-06,424,0
2019-01-07,24467,0
2019-01-08,13369,0
2019-01-09,38866,0
2019-01-10,4254,0
2019-01-11,14788,0
2019-01-12,1072,0
2019-01-13,1021,0
2019-01-14,15753,0
2019-01-15,53867,0
2019-01-16,64084,0
2019-01-17,24495,0
2019-01-18,2508,0
2019-01-19,677,0
2019-01-20,1098,0
2019-01-21,25323,0
2019-01-22,49258,0
2019-01-23,15908,0
2019-01-24,63802,0
2019-01-25,39028,0
2019-01-26,17214,0
2019-01-27,8139,0
2019-01-28,37625,0
2019-01-29,8858,0
2019-01-30,41326,0
2019-01-31,211624,0
2019-02-01,18846,0
2019-02-02,3673,0
2019-02-03,975,0
2019-02-04,36672,0
2019-02-05,161493,0
2019-02-06,68516,0
2019-02-07,25963,0
2019-02-08,19670,0
2019-02-09,4187,0
2019-02-10,2694,0
2019-02-11,17354,0
2019-02-12,22373,0
2019-02-13,406307,0
2019-02-14,21398,0
2019-02-15,26270,0
2019-02-16,1723,0
2019-02-17,642,0
2019-02-18,18911,0
2019-02-19,41291,0
2019-02-20,17276,0
2019-02-21,31375,0
2019-02-22,27733,0
2019-02-23,1874,0
2019-02-24,1030,0
2019-02-25,177098,0
2019-02-26,10000,0
2019-02-27,10782,0
2019-02-28,23978,0
2019-03-01,26148,0
2019-03-02,2270,0
2019-03-03,1750,0
2019-03-04,206,0
2019-03-05,3544,0
2019-03-06,19068,0
2019-03-07,23213,0
2019-03-08,208,0
2019-03-10,4358,0
2019-03-11,12908,0
2019-03-12,16553,0
2019-03-13,47438,0
2019-03-14,35201,0
2019-03-15,31954,0
2019-03-16,13873,0
2019-03-17,4645,0
2019-03-18,46928,0
2019-03-19,7389,0
2019-03-20,20638,0
2019-03-21,47326,0
2019-03-22,166946,0
2019-03-23,2528,0
2019-03-24,1057,0
2019-03-25,8136,0
2019-03-26,10141,0
2019-03-27,20071,0
2019-03-28,18346,0
2019-03-29,23851,0
2019-03-30,1416,0
2019-03-31,5789,0
2019-04-01,22688,0
2019-04-02,25933,0
2019-04-03,24751,0
2019-04-04,14373,0
2019-04-05,19405,0
2019-04-06,463,0
2019-04-07,4045,0
2019-04-08,8911,0
2019-04-09,71040,0
2019-04-10,96327,0
2019-04-11,32170,0
2019-04-12,343014,0
2019-04-13,6388,0
2019-04-14,366,0
2019-04-15,46498,0
2019-04-16,18272,0
2019-04-17,14957,0
2019-04-18,4885,0
2019-04-19,676,0
2019-04-20,5459,0
2019-04-21,4958,0
2019-04-22,16209,0
2019-04-23,24086,0
2019-04-24,50364,0
2019-04-25,48156,0
2019-04-26,39843,0
2019-04-27,1496,0
2019-04-28,7080,0
2019-04-29,36459,0
2019-04-30,7739,0
2019-05-01,8183,0
2019-05-02,34830,0
2019-05-03,377656,0
2019-05-04,10115,0
2019-05-05,3337,0
2019-05-06,71442,0
2019-05-07,34977,0
2019-05-08,38827,0
2019-05-09,52001,0
2019-05-10,35519,0
2019-05-11,2108,0
2019-05-12,7311,0
2019-05-13,153525,0
2019-05-14,65941,0
2019-05-15,26793,0
2019-05-16,22357,0
2019-05-17,38648,0
2019-05-18,357,0
2019-05-19,512,0
2019-05-20,58985,0
2019-05-21,144270,0
2019-05-22,27564,0
2019-05-23,34768,0
2019-05-24,78707,0
2019-05-25,6918,0
2019-05-26,2989,0
2019-05-27,35579,0
2019-05-28,23441,0
2019-05-29,23008,0
2019-05-30,23502,0
2019-05-31,20075,0
2019-06-01,1115,0
2019-06-02,13181,0
2019-06-03,13457,0
2019-06-04,56587,0
2019-06-05,38157,0
2019-06-06,48191,0
2019-06-07,28159,0
2019-06-08,2594,0
2019-06-09,2049,0
2019-06-10,46652,0
2019-06-11,11432,0
2019-06-12,39414,0
2019-06-13,18975,0
2019-06-14,29939,0
2019-06-15,12885,0
2019-06-16,2725,0
2019-06-17,16739,0
2019-06-18,55756,0
2019-06-19,29972,0
2019-06-20,11144,0
2019-06-21,35037,0
2019-06-22,4429,0
2019-06-23,17968,0
2019-06-24,1496,0
2019-06-25,29463,0
2019-06-26,34581,0
2019-06-27,33401,0
2019-06-28,52620,0
2019-06-29,3215,0
2019-06-30,2650,0
2019-07-01,41547,0
2019-07-02,85237,0
2019-07-03,82806,0
2019-07-04,14464,0
2019-07-05,951,0
2019-07-06,479,0
2019-07-07,3053,0
2019-07-08,27501,0
2019-07-09,35621,0
2019-07-10,69314,0
2019-07-11,109543,0
2019-07-12,40914,0
2019-07-13,3402,0
2019-07-14,2221,0
2019-07-15,27222,0
2019-07-16,36239,0
2019-07-17,414928,0
2019-07-18,41739,0
2019-07-19,53003,0
2019-07-20,254,0
2019-07-21,1375,0
2019-07-22,125704,0
2019-07-23,54517,0
2019-07-24,8890,0
2019-07-25,54736,0
2019-07-26,30851,0
2019-07-27,2428,0
2019-07-28,7211,0
2019-07-29,54362,0
2019-07-30,69474,0
2019-07-31,54350,0
2019-08-01,20002,0
2019-08-02,26683,0
2019-08-03,19056,0
2019-08-04,1795,0
2019-08-05,31381,0
2019-08-06,226046,0
2019-08-07,21279,0
2019-08-08,199164,0
2019-08-09,51062,0
2019-08-10,11056,0
2019-08-11,2742,0
2019-08-12,29578,0
2019-08-13,116949,0
2019-08-14,270325,0
2019-08-15,56843,0
2019-08-16,27850,0
2019-08-17,233,0
2019-08-18,4134,0
2019-08-19,5812,0
2019-08-20,38221,0
2019-08-21,11726,0
2019-08-22,89386,0
2019-08-23,41766,0
2019-08-24,18338,0
2019-08-25,13873,0
2019-08-26,14091,0
2019-08-27,31716,0
2019-08-28,90858,0
2019-08-29,35690,0
2019-08-30,72738,0
2019-08-31,1544,0
2019-09-01,14499,0
2019-09-02,14676,0
2019-09-03,36374,0
2019-09-04,23993,0
2019-09-05,26049,0
2019-09-06,10989,0
2019-09-07,1299,0
2019-09-08,360,0
2019-09-09,16828,0
2019-09-10,28914,0
2019-09-11,33117,0
2019-09-12,16044,0
2019-09-13,35536,0
2019-09-14,8147,0
2019-09-15,21409,0
2019-09-16,10455,0
2019-09-17,45769,0
2019-09-18,140409,0
2019-09-19,23715,0
2019-09-20,11293,0
2019-09-21,2979,0
2019-09-22,1977,0
2019-09-23,30812,0
2019-09-24,22037,0
2019-09-25,35840,0
2019-09-26,251502,0
2019-09-27,96197,0
2019-09-28,3829,0
2019-09-29,5128,0
2019-09-30,25481,0
2019-10-01,49017,0
2019-10-02,37418,0
2019-10-03,43791,0
2019-10-04,19372,0
2019-10-05,6045,0
2019-10-06,6753,0
2019-10-07,47785,0
2019-10-08,68033,0
2019-10-09,42000,0
2019-10-10,40380,0
2019-10-11,361255,0
2019-10-12,4269,0
2019-10-13,8339,0
2019-10-14,53312,0
2019-10-15,34540,0
2019-10-16,54067,0
2019-10-17,31636,0
2019-10-18,26685,0
2019-10-19,4176,0
2019-10-20,3904,0
2019-10-21,46115,0
2019-10-22,43405,0
2019-10-23,108629,0
2019-10-24,12885,0
2019-10-25,48549,0
2019-10-26,15042,0
2019-10-27,6107,0
2019-10-28,43284,0
2019-10-29,128552,0
2019-10-30,63306,0
2019-10-31,37669,0
2019-11-01,19518,0
2019-11-02,8985,0
2019-11-03,23418,0
2019-11-04,15818,0
2019-11-05,33369,0
2019-11-06,28858,0
2019-11-07,57583,0
2019-11-08,47541,0
2019-11-09,4902,0
2019-11-10,3900,0
2019-11-11,26847,0
2019-11-12,13886,0
2019-11-13,34137,0
2019-11-14,27214,0
2019-11-15,344307,0
2019-11-16,12339,0
2019-11-17,4778,0
2019-11-18,54795,0
2019-11-19,51514,0
2019-11-20,50358,0
2019-11-21,33495,0
2019-11-22,19941,0
2019-11-23,5169,0
2019-11-24,4772,0
2019-11-25,52622,0
2019-11-26,27856,0
2019-11-27,115322,0
2019-11-28,119205,0
2019-11-29,7057,0
2019-11-30,13574,0
2019-12-01,10075,0
2019-12-02,30463,0
2019-12-03,27067,0
2019-12-04,31324,0
2019-12-05,44653,0
2019-12-06,30518,0
2019-12-07,23596,0
2019-12-08,7055,0
2019-12-09,40038,0
2019-12-10,17923,0
2019-12-11,31072,0
2019-12-12,23657,0
2019-12-13,31887,0
2019-12-14,404357,0
2019-12-15,6588,0
2019-12-16,9417,0
2019-12-17,14883,0
2019-12-18,26699,0
