date_issue,amount,covid_claims
2018-09-03,7953,0
2018-09-10,52824,0
2018-09-17,144926,0
2018-09-24,334429,0
2018-10-01,202143,0
2018-10-08,113785,0
2018-10-15,402426,0
2018-10-22,153549,0
2018-10-29,379270,0
2018-11-05,195144,0
2018-11-12,213328,0
2018-11-19,287527,0
2018-11-26,165369,0
2018-12-03,163943,0
2018-12-10,125700,0
2018-12-17,131520,0
2018-12-24,321408,0
2018-12-31,135268,0
2019-01-07,173464,0
2019-01-14,89123,0
2019-01-21,172052,0
2019-01-28,230974,0
2019-02-04,321974,0
2019-02-11,299877,0
2019-02-18,497624,0
2019-02-25,297677,0
2019-03-04,75134,0
2019-03-11,63299,0
2019-03-18,196592,0
2019-03-25,254020,0
2019-04-01,102302,0
2019-04-08,97881,0
2019-04-15,595803,0
2019-04-22,65416,0
2019-04-29,207484,0
2019-05-06,513302,0
2019-05-13,324268,0
2019-05-20,213593,0
2019-05-27,330795,0
2019-06-03,117779,0
2019-06-10,222389,0
2019-06-17,132109,0
2019-06-24,155802,0
2019-07-01,197477,0
2019-07-08,214491,0
2019-07-15,288237,0
2019-07-22,673242,0
2019-07-29,212995,0
2019-08-05,222741,0
2019-08-12,540927,0
2019-08-19,482146,0
2019-08-26,227401,0
2019-09-02,261721,0
2019-09-09,115892,0
2019-09-16,153622,0
2019-09-23,256954,0
2019-09-30,440014,0
2019-10-07,210181,0
2019-10-14,577588,0
2019-10-21,201123,0
2019-10-28,277901,0
2019-11-04,297266,0
2019-11-11,203000,0
2019-11-18,491456,0
2019-11-25,217871,0
2019-12-02,323552,0
2019-12-09,204251,0
2019-12-16,524901,0
2019-12-23,143543,0
2019-12-30,76815,0
2020-01-06,63013,0
2020-01-13,239755,0
2020-01-20,617988,0
2020-01-27,310204,0
2020-02-03,477753,0
2020-02-10,230353,0
2020-02-17,421801,0
2020-02-24,302724,0
2020-03-02,261815,0
2020-03-09,267941,1
2020-03-16,416809,0
2020-03-23,133781,1
2020-03-30,506610,3
2020-04-06,235869,1
2020-04-13,94357,1
2020-04-20,243900,0
2020-04-27,207593,0
2020-05-04,207153,0
2020-05-11,265235,0
2020-05-18,183760,0
2020-05-25,414963,0
2020-06-01,323643,0
2020-06-08,230834,3
2020-06-15,363814,1
2020-06-22,321363,3
2020-06-29,385466,6
2020-07-06,463606,3
2020-07-13,292342,5
2020-07-20,506817,12
2020-07-27,340693,13
2020-08-03,614722,18
2020-08-10,349889,22
2020-08-17,554919,30
2020-08-24,536814,25
2020-08-31,650891,27
2020-09-07,542183,28
2020-09-14,219246,22
2020-09-21,431371,37
2020-09-28,412856,26
2020-10-05,333753,41
2020-10-12,352738,56
2020-10-19,380757,51
2020-10-26,335995,33
2020-11-02,417202,20
2020-11-09,564061,33
2020-11-16,620893,42
2020-11-23,462661,24
2020-11-30,604342,31
2020-12-07,520052,49
2020-12-14,506444,50
2020-12-21,479013,56
2020-12-28,674122,63
2021-01-04,432695,82
2021-01-11,874187,120
2021-01-18,909661,108
2021-01-25,941566,115
2021-02-01,583139,97
2021-02-08,745803,98
2021-02-15,677139,79
2021-02-22,1184838,113
2021-03-01,1130230,105
2021-03-08,1174264,131
