date_issue,total_claims,total_amount_claims
2018-09-01,2,168
2018-09-02,2,332
2018-09-03,9,7453
2018-09-04,18,5025
2018-09-05,38,16023
2018-09-06,33,10217
2018-09-07,28,21064
2018-09-08,3,260
2018-09-09,1,31
2018-09-10,1,204
2018-09-11,51,38907
2018-09-12,34,19141
2018-09-13,26,30355
2018-09-14,49,21834
2018-09-15,5,3010
2018-09-16,4,8937
2018-09-17,8,22742
2018-09-18,26,73038
2018-09-19,39,8190
2018-09-20,62,221539
2018-09-21,34,8851
2018-09-22,2,132
2018-09-23,2,7857
2018-09-24,34,14822
2018-09-25,34,45189
2018-09-26,48,73900
2018-09-27,29,28170
2018-09-28,58,21267
2018-09-29,5,907
2018-09-30,3,4800
2018-10-01,22,27910
2018-10-02,21,31760
2018-10-03,38,21774
2018-10-04,32,43644
2018-10-05,30,4599
2018-10-06,1,279
2018-10-07,4,973
2018-10-08,28,10756
2018-10-09,37,48381
2018-10-10,59,171656
2018-10-11,52,118338
2018-10-12,11,3760
2018-10-13,3,1074
2018-10-14,3,601
2018-10-15,54,58616
2018-10-16,15,10871
2018-10-17,45,47846
2018-10-18,35,8137
2018-10-19,31,21424
2018-10-20,2,122
2018-10-21,5,4056
2018-10-22,50,61093
2018-10-23,48,19492
2018-10-24,29,12522
2018-10-25,62,280652
2018-10-26,34,4100
2018-10-27,3,17428
2018-10-28,4,348
2018-10-29,50,44728
2018-10-30,30,43658
2018-10-31,64,34860
2018-11-01,13,11784
2018-11-02,48,101228
2018-11-03,6,1261
2018-11-04,4,797
2018-11-05,8,1556
2018-11-06,37,118646
2018-11-07,51,42729
2018-11-08,30,10735
2018-11-09,39,12234
2018-11-10,3,1927
2018-11-11,4,408
2018-11-12,54,26649
2018-11-13,42,60805
2018-11-14,27,29828
2018-11-15,64,34222
2018-11-16,21,56307
2018-11-17,6,8197
2018-11-18,4,13832
2018-11-19,50,84336
2018-11-20,43,10504
2018-11-21,35,35237
2018-11-22,44,30231
2018-11-23,18,39051
2018-11-24,5,2513
2018-11-25,5,7925
2018-11-26,41,39908
2018-11-27,51,34479
2018-11-28,27,14166
2018-11-29,37,68403
2018-11-30,43,24266
2018-12-01,4,713
2018-12-02,3,2827
2018-12-03,21,19089
2018-12-04,27,20858
2018-12-05,28,25272
2018-12-06,37,12391
