date_issue,total_amount_claims
2018-09-03,16683
2018-09-10,201774
2018-09-17,263661
2018-09-24,799703
2018-10-01,900305
2018-10-08,119757
2018-10-15,562184
2018-10-22,198726
2018-10-29,554402
2018-11-05,248895
2018-11-12,282952
2018-11-19,550298
2018-11-26,329495
2018-12-03,225827
2018-12-10,232102
2018-12-17,287324
2018-12-24,471931
2018-12-31,148616
2019-01-07,239184
2019-01-14,155138
2019-01-21,514281
2019-01-28,337086
2019-02-04,453627
2019-02-11,442480
2019-02-18,597889
2019-02-25,687898
2019-03-04,251541
2019-03-11,88618
2019-03-18,333726
2019-03-25,517479
2019-04-01,224666
2019-04-08,289400
2019-04-15,908532
2019-04-22,141427
2019-04-29,484123
2019-05-06,732933
2019-05-13,498164
2019-05-20,392426
2019-05-27,463346
2019-06-03,328650
2019-06-10,372744
2019-06-17,287863
2019-06-24,294561
2019-07-01,634296
2019-07-08,397238
2019-07-15,521891
2019-07-22,1046164
2019-07-29,369044
2019-08-05,409898
2019-08-12,727561
2019-08-19,679725
2019-08-26,458687
2019-09-02,476927
2019-09-09,325582
2019-09-16,424519
2019-09-23,595692
2019-09-30,733113
2019-10-07,449472
2019-10-14,939026
2019-10-21,584723
2019-10-28,673773
2019-11-04,562963
2019-11-11,652181
2019-11-18,838302
2019-11-25,623402
2019-12-02,573697
2019-12-09,487450
2019-12-16,840033
2019-12-23,455082
2019-12-30,288683
2020-01-06,231965
2020-01-13,589066
2020-01-20,1490111
2020-01-27,726893
2020-02-03,868985
2020-02-10,657477
2020-02-17,875348
2020-02-24,688555
2020-03-02,619535
2020-03-09,774625
2020-03-16,726842
2020-03-23,320389
2020-03-30,751435
2020-04-06,398618
2020-04-13,281300
2020-04-20,492229
2020-04-27,444578
2020-05-04,427202
2020-05-11,586370
2020-05-18,466529
2020-05-25,668185
2020-06-01,716803
2020-06-08,621283
2020-06-15,735286
2020-06-22,648367
2020-06-29,806380
2020-07-06,895589
2020-07-13,747161
2020-07-20,972735
2020-07-27,822597
2020-08-03,1256998
2020-08-10,967879
2020-08-17,1119975
2020-08-24,1858704
2020-08-31,1578698
2020-09-07,1162316
2020-09-14,820467
2020-09-21,1078408
2020-09-28,1008514
2020-10-05,958498
2020-10-12,931685
2020-10-19,1094071
2020-10-26,1251763
2020-11-02,1249102
2020-11-09,1240029
2020-11-16,1430545
2020-11-23,1236462
2020-11-30,1447486
2020-12-07,1283244
2020-12-14,1284793
2020-12-21,1288100
2020-12-28,1174865
2021-01-04,1058832
2021-01-11,1690072
2021-01-18,1862241
2021-01-25,2001208
2021-02-01,1630852
2021-02-08,1949930
2021-02-15,1725225
2021-02-22,2232202
2021-03-01,2666662
2021-03-08,2111986
